Ticker,Company Name,Sector,Industry,Exchange
500013.BO,Ansal Properties & Infrastructure Limited,,,BSE
500020.BO,The Bombay Dyeing and Manufacturing Company Limited,,,BSE
500028.BO,"500028.BO,0P0000PT44,21594",,,BSE
500039.BO,Banco Products (India) Limited,,,BSE
500041.BO,Bannari Amman Sugars Limited,,,BSE
500051.BO,Bhagawati Gas Ltd,,,BSE
500059.BO,Binani Industries Limited,,,BSE
500060.BO,Birla Cable Limited,,,BSE
500069.BO,Quest Capital Markets Limited,,,BSE
500089.BO,DIC India Limited,,,BSE
500093.BO,CG Power and Industrial Solutions Limited,,,BSE
500097.BO,Dalmia Bharat Sugar and Industries Limited,,,BSE
500102.BO,Ballarpur Industries Limited,,,BSE
500285.BO,"500285.BO,0P0000AZXM,5977282",,,BSE
500490.BO,Bajaj Holdings & Investment Limited,,,BSE
500780.BO,Zuari Industries Limited,,,BSE
500878.BO,CEAT Limited,,,BSE
AARTIIND.NS,Aarti Industries Limited,Basic Materials,Specialty Chemicals,NSE
AAVAS.NS,Aavas Financiers Limited,Financial Services,Mortgage Finance,NSE
ABB.NS,ABB India Limited,Industrials,Specialty Industrial Machinery,NSE
ABBOTINDIA.NS,Abbott India Limited,Healthcare,Drug Manufacturers - Specialty & Generic,NSE
ABCAPITAL.NS,Aditya Birla Capital Limited,Financial Services,Financial Conglomerates,NSE
ABFRL.NS,Aditya Birla Fashion and Retail Limited,Consumer Cyclical,Apparel Manufacturing,NSE
ABSLAMC.NS,Aditya Birla Sun Life AMC Limited,Financial Services,Asset Management,NSE
ACC.NS,ACC Limited,Basic Materials,Building Materials,NSE
ADANIENSOL.NS,Adani Energy Solutions Limited,Utilities,Utilities - Independent Power Producers,NSE
ADANIENT.NS,Adani Enterprises Limited,Energy,Thermal Coal,NSE
ADANIGREEN.NS,Adani Green Energy Limited,Utilities,Utilities - Renewable,NSE
ADANIPORTS.NS,Adani Ports and Special Economic Zone Limited,Industrials,Marine Shipping,NSE
ADANIPOWER.NS,Adani Power Limited,Utilities,Utilities - Independent Power Producers,NSE
AEGISLOG.NS,AEGIS LOGISTICS LIMITED,Energy,Oil & Gas Refining & Marketing,NSE
AIAENG.NS,AIA Engineering Limited,Industrials,Specialty Industrial Machinery,NSE
AJANTPHARM.NS,Ajanta Pharma Limited,Healthcare,Drug Manufacturers - Specialty & Generic,NSE
ALKEM.NS,Alkem Laboratories Limited,Healthcare,Drug Manufacturers - Specialty & Generic,NSE
ALKYLAMINE.NS,Alkyl Amines Chemicals Limited,Basic Materials,Specialty Chemicals,NSE
ALLCARGO.NS,Allcargo Logistics Limited,Industrials,Integrated Freight & Logistics,NSE
AMBUJACEM.NS,Ambuja Cements Limited,Basic Materials,Building Materials,NSE
ANGELONE.NS,Angel One Limited,Financial Services,Capital Markets,NSE
ANURAS.NS,Anupam Rasayan India Ltd,Basic Materials,Specialty Chemicals,NSE
APARINDS.NS,APAR Industries Limited,Industrials,Electrical Equipment & Parts,NSE
APLAPOLLO.NS,APL Apollo Tubes Limited,Basic Materials,Steel,NSE
APOLLOHOSP.NS,Apollo Hospitals Enterprise Limited,Healthcare,Medical Care Facilities,NSE
APOLLOTYRE.NS,Apollo Tyres Limited,Consumer Cyclical,Auto Parts,NSE
ASHOKLEY.NS,Ashok Leyland Limited,Industrials,Farm & Heavy Construction Machinery,NSE
ASIANPAINT.NS,Asian Paints Limited,Basic Materials,Specialty Chemicals,NSE
ASTERDM.NS,Aster DM Healthcare Limited,Healthcare,Medical Care Facilities,NSE
ASTRAL.NS,Astral Limited,Industrials,Building Products & Equipment,NSE
ASTRAMICRO.NS,Astra Microwave Products Limited,Technology,Communication Equipment,NSE
ATGL.NS,Adani Total Gas Limited,Utilities,Utilities - Regulated Gas,NSE
ATUL.NS,Atul Ltd,Basic Materials,Specialty Chemicals,NSE
AUBANK.NS,AU Small Finance Bank Limited,Financial Services,Banks - Regional,NSE
AUROPHARMA.NS,Aurobindo Pharma Limited,Healthcare,Drug Manufacturers - Specialty & Generic,NSE
AXISBANK.NS,Axis Bank Limited,Financial Services,Banks - Regional,NSE
BAJAJ-AUTO.NS,Bajaj Auto Limited,Consumer Cyclical,Auto Manufacturers,NSE
BAJAJCON.NS,Bajaj Consumer Care Limited,Consumer Defensive,Household & Personal Products,NSE
BAJAJELEC.NS,Bajaj Electricals Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances",NSE
BAJAJFINSV.NS,Bajaj Finserv Ltd.,Financial Services,Financial Conglomerates,NSE
BAJAJHIND.NS,Bajaj Hindusthan Sugar Limited,Consumer Defensive,Confectioners,NSE
BAJFINANCE.NS,Bajaj Finance Limited,Financial Services,Credit Services,NSE
BALKRISIND.NS,Balkrishna Industries Limited,Consumer Cyclical,Auto Parts,NSE
BALRAMCHIN.NS,Balrampur Chini Mills Limited,Consumer Defensive,Confectioners,NSE
BANDHANBNK.NS,Bandhan Bank Limited,Financial Services,Banks - Regional,NSE
BANKBARODA.NS,Bank of Baroda Limited,Financial Services,Banks - Regional,NSE
BASF.NS,BASF India Limited,Basic Materials,Specialty Chemicals,NSE
BATAINDIA.NS,Bata India Limited,Consumer Cyclical,Footwear & Accessories,NSE
BAYERCROP.NS,Bayer CropScience Limited,Basic Materials,Agricultural Inputs,NSE
BEL.NS,Bharat Electronics Limited,Industrials,Aerospace & Defense,NSE
BEML.NS,BEML Limited,Industrials,Conglomerates,NSE
BERGEPAINT.NS,Berger Paints India Limited,Basic Materials,Specialty Chemicals,NSE
BHARATFORG.NS,Bharat Forge Limited,Consumer Cyclical,Auto Parts,NSE
BHARTIARTL.NS,Bharti Airtel Limited,Communication Services,Telecom Services,NSE
BHEL.NS,Bharat Heavy Electricals Limited,Industrials,Specialty Industrial Machinery,NSE
BIOCON.NS,Biocon Limited,Healthcare,Biotechnology,NSE
BLUEDART.NS,Blue Dart Express Limited,Industrials,Integrated Freight & Logistics,NSE
BLUESTARCO.NS,Blue Star Limited,Industrials,Building Products & Equipment,NSE
BOSCHLTD.NS,Bosch Limited,Consumer Cyclical,Auto Parts,NSE
BPCL.NS,Bharat Petroleum Corporation Limited,Energy,Oil & Gas Refining & Marketing,NSE
BRITANNIA.NS,Britannia Industries Limited,Consumer Defensive,Packaged Foods,NSE
BUTTERFLY.NS,Butterfly Gandhimathi Appliances Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances",NSE
CAMS.NS,Computer Age Management Services Limited,Technology,Information Technology Services,NSE
CANBK.NS,Canara Bank,Financial Services,Banks - Regional,NSE
CANFINHOME.NS,Can Fin Homes Limited,Financial Services,Mortgage Finance,NSE
CARBORUNIV.NS,Carborundum Universal Limited,Industrials,Conglomerates,NSE
CARERATING.NS,CARE Ratings Limited,Financial Services,Financial Data & Stock Exchanges,NSE
CASTROLIND.NS,Castrol India Limited,Energy,Oil & Gas Refining & Marketing,NSE
CDSL.NS,Central Depository Services (India) Limited,Financial Services,Capital Markets,NSE
CENTRALBK.NS,Central Bank of India,Financial Services,Banks - Regional,NSE
CENTURYPLY.NS,Century Plyboards (India) Limited,Basic Materials,Lumber & Wood Production,NSE
CERA.NS,Cera Sanitaryware Limited,Industrials,Building Products & Equipment,NSE
CESC.NS,CESC Limited,Utilities,Utilities - Regulated Electric,NSE
CHAMBLFERT.NS,Chambal Fertilisers and Chemicals Limited,Basic Materials,Agricultural Inputs,NSE
CHOLAFIN.NS,Cholamandalam Investment and Finance Company Limited,Financial Services,Credit Services,NSE
CHOLAHLDNG.NS,Cholamandalam Financial Holdings Limited,Financial Services,Credit Services,NSE
CIPLA.NS,Cipla Limited,Healthcare,Drug Manufacturers - Specialty & Generic,NSE
COALINDIA.NS,Coal India Limited,Energy,Thermal Coal,NSE
COCHINSHIP.NS,Cochin Shipyard Limited,Industrials,Aerospace & Defense,NSE
COFORGE.NS,Coforge Limited,Technology,Information Technology Services,NSE
COLPAL.NS,Colgate-Palmolive (India) Limited,Consumer Defensive,Household & Personal Products,NSE
COMPINFO.NS,Compuage Infocom Limited,Technology,Electronics & Computer Distribution,NSE
CONCOR.NS,Container Corporation of India Limited,Industrials,Railroads,NSE
COROMANDEL.NS,Coromandel International Limited,Basic Materials,Agricultural Inputs,NSE
CRAFTSMAN.NS,Craftsman Automation Limited,Consumer Cyclical,Auto Parts,NSE
CRISIL.NS,CRISIL Limited,Financial Services,Financial Data & Stock Exchanges,NSE
CROMPTON.NS,Crompton Greaves Consumer Electricals Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances",NSE
CUMMINSIND.NS,Cummins India Limited,Industrials,Specialty Industrial Machinery,NSE
CYIENT.NS,Cyient Limited,Industrials,Conglomerates,NSE
CYIENTDLM.NS,Cyient DLM Limited,Technology,Electronic Components,NSE
DABUR.NS,Dabur India Limited,Consumer Defensive,Household & Personal Products,NSE
DATAPATTNS.NS,Data Patterns (India) Limited,Industrials,Aerospace & Defense,NSE
DBCORP.NS,D. B. Corp Limited,Communication Services,Publishing,NSE
DCAL.NS,Dishman Carbogen Amcis Limited,Healthcare,Biotechnology,NSE
DCMSHRIRAM.NS,DCM Shriram Limited,Industrials,Conglomerates,NSE
DEEPAKFERT.NS,Deepak Fertilisers And Petrochemicals Corporation Limited,Basic Materials,Chemicals,NSE
DEEPAKNTR.NS,Deepak Nitrite Limited,Basic Materials,Chemicals,NSE
DELHIVERY.NS,Delhivery Limited,Industrials,Integrated Freight & Logistics,NSE
DEN.NS,DEN Networks Limited,Communication Services,Entertainment,NSE
DEVYANI.NS,Devyani International Limited,Consumer Cyclical,Restaurants,NSE
DIVISLAB.NS,Divi's Laboratories Limited,Healthcare,Drug Manufacturers - Specialty & Generic,NSE
DIXON.NS,Dixon Technologies (India) Limited,Technology,Consumer Electronics,NSE
DLF.NS,DLF Limited,Real Estate,Real Estate - Development,NSE
DMART.NS,Avenue Supermarts Limited,Consumer Defensive,Discount Stores,NSE
DRREDDY.NS,Dr. Reddy's Laboratories Limited,Healthcare,Drug Manufacturers - Specialty & Generic,NSE
EASEMYTRIP.NS,Easy Trip Planners Limited,Consumer Cyclical,Travel Services,NSE
EICHERMOT.NS,Eicher Motors Limited,Consumer Cyclical,Auto Manufacturers,NSE
EIHOTEL.NS,EIH Limited,Consumer Cyclical,Lodging,NSE
ELECON.NS,Elecon Engineering Company Limited,Industrials,Specialty Industrial Machinery,NSE
EMAMILTD.NS,Emami Limited,Consumer Defensive,Household & Personal Products,NSE
ENDURANCE.NS,Endurance Technologies Limited,Consumer Cyclical,Auto Parts,NSE
ENGINERSIN.NS,Engineers India Limited,Industrials,Engineering & Construction,NSE
EQUITASBNK.NS,Equitas Small Finance Bank Limited,Financial Services,Banks - Regional,NSE
ERIS.NS,Eris Lifesciences Limited,Healthcare,Drug Manufacturers - Specialty & Generic,NSE
ESCORTS.NS,Escorts Kubota Limited,Industrials,Farm & Heavy Construction Machinery,NSE
EXIDEIND.NS,Exide Industries Limited,Consumer Cyclical,Auto Parts,NSE
FEDERALBNK.NS,The Federal Bank Limited,Financial Services,Banks - Regional,NSE
FEL.NS,Future Enterprises Limited,Consumer Cyclical,Department Stores,NSE
FINEORG.NS,Fine Organic Industries Limited,Basic Materials,Specialty Chemicals,NSE
FORTIS.NS,Fortis Healthcare Limited,Healthcare,Medical Care Facilities,NSE
GABRIEL.NS,Gabriel India Limited,Consumer Cyclical,Auto Parts,NSE
GAIL.NS,GAIL (India) Limited,Utilities,Utilities - Regulated Gas,NSE
GALAXYSURF.NS,Galaxy Surfactants Limited,Basic Materials,Specialty Chemicals,NSE
GHCL.NS,GHCL Limited,Basic Materials,Chemicals,NSE
GILLETTE.NS,Gillette India Limited,Consumer Defensive,Household & Personal Products,NSE
GLAXO.NS,GlaxoSmithKline Pharmaceuticals Limited,Healthcare,Drug Manufacturers - General,NSE
GLENMARK.NS,Glenmark Pharmaceuticals Limited,Healthcare,Drug Manufacturers - Specialty & Generic,NSE
GLOBUSSPR.NS,Globus Spirits Limited,Consumer Defensive,Beverages - Wineries & Distilleries,NSE
GMMPFAUDLR.NS,GMM Pfaudler Limited,Industrials,Specialty Industrial Machinery,NSE
GNFC.NS,Gujarat Narmada Valley Fertilizers & Chemicals Limited,Basic Materials,Chemicals,NSE
GODFRYPHLP.NS,Godfrey Phillips India Limited,Consumer Defensive,Tobacco,NSE
GODREJCP.NS,Godrej Consumer Products Limited,Consumer Defensive,Household & Personal Products,NSE
GODREJIND.NS,Godrej Industries Limited,Industrials,Conglomerates,NSE
GODREJPROP.NS,Godrej Properties Limited,Real Estate,Real Estate - Development,NSE
GRANULES.NS,Granules India Limited,Healthcare,Drug Manufacturers - Specialty & Generic,NSE
GRAPHITE.NS,Graphite India Limited,Industrials,Electrical Equipment & Parts,NSE
GRASIM.NS,Grasim Industries Limited,Basic Materials,Building Materials,NSE
GRINDWELL.NS,Grindwell Norton Limited,Industrials,Building Products & Equipment,NSE
GRSE.NS,Garden Reach Shipbuilders & Engineers Limited,Industrials,Aerospace & Defense,NSE
GSFC.NS,Gujarat State Fertilizers & Chemicals Limited,Basic Materials,Agricultural Inputs,NSE
GSPL.NS,Gujarat State Petronet Limited,Utilities,Utilities - Regulated Gas,NSE
GTPL.NS,GTPL Hathway Limited,Communication Services,Entertainment,NSE
GUJALKALI.NS,Gujarat Alkalies and Chemicals Limited,Basic Materials,Chemicals,NSE
GUJGASLTD.NS,Gujarat Gas Limited,Utilities,Utilities - Regulated Gas,NSE
HAL.NS,Hindustan Aeronautics Limited,Industrials,Aerospace & Defense,NSE
HATSUN.NS,Hatsun Agro Product Limited,Consumer Defensive,Packaged Foods,NSE
HAVELLS.NS,Havells India Limited,Industrials,Electrical Equipment & Parts,NSE
HCLTECH.NS,HCL Technologies Limited,Technology,Information Technology Services,NSE
HDFCBANK.NS,HDFC Bank Limited,Financial Services,Banks - Regional,NSE
HDFCLIFE.NS,HDFC Life Insurance Company Limited,Financial Services,Insurance - Life,NSE
HEG.NS,HEG Limited,Industrials,Electrical Equipment & Parts,NSE
HEIDELBERG.NS,HeidelbergCement India Limited,Basic Materials,Building Materials,NSE
HEROMOTOCO.NS,Hero MotoCorp Limited,Consumer Cyclical,Auto Manufacturers,NSE
HFCL.NS,HFCL Limited,Technology,Communication Equipment,NSE
HINDALCO.NS,Hindalco Industries Limited,Basic Materials,Aluminum,NSE
HINDCOPPER.NS,Hindustan Copper Limited,Basic Materials,Copper,NSE
HINDPETRO.NS,Hindustan Petroleum Corporation Limited,Energy,Oil & Gas Refining & Marketing,NSE
HINDUNILVR.NS,Hindustan Unilever Limited,Consumer Defensive,Household & Personal Products,NSE
HINDZINC.NS,Hindustan Zinc Limited,Basic Materials,Other Industrial Metals & Mining,NSE
HMVL.NS,Hindustan Media Ventures Limited,Communication Services,Publishing,NSE
HOMEFIRST.NS,Home First Finance Company India Limited,Financial Services,Mortgage Finance,NSE
HSCL.NS,Himadri Speciality Chemical Limited,Basic Materials,Specialty Chemicals,NSE
ICICIBANK.NS,ICICI Bank Limited,Financial Services,Banks - Regional,NSE
ICRA.NS,ICRA Limited,Financial Services,Financial Data & Stock Exchanges,NSE
IDEA.NS,Vodafone Idea Limited,Communication Services,Telecom Services,NSE
IDFCFIRSTB.NS,IDFC First Bank Limited,Financial Services,Banks - Regional,NSE
IEX.NS,Indian Energy Exchange Limited,Financial Services,Capital Markets,NSE
IGL.NS,Indraprastha Gas Limited,Utilities,Utilities - Regulated Gas,NSE
IIFL.NS,IIFL Finance Limited,Financial Services,Credit Services,NSE
IMAGICAA.NS,Imagicaaworld Entertainment Limited,Communication Services,Entertainment,NSE
INDHOTEL.NS,The Indian Hotels Company Limited,Consumer Cyclical,Lodging,NSE
INDIACEM.NS,The India Cements Limited,Basic Materials,Building Materials,NSE
INDIAMART.NS,IndiaMART InterMESH Limited,Communication Services,Internet Content & Information,NSE
INDIGO.NS,InterGlobe Aviation Limited,Industrials,Airlines,NSE
INDUSINDBK.NS,IndusInd Bank Limited,Financial Services,Banks - Regional,NSE
INFY.NS,Infosys Limited,Technology,Information Technology Services,NSE
INGERRAND.NS,Ingersoll-Rand (India) Limited,Industrials,Specialty Industrial Machinery,NSE
IOC.NS,Indian Oil Corporation Limited,Energy,Oil & Gas Refining & Marketing,NSE
IPCALAB.NS,Ipca Laboratories Limited,Healthcare,Drug Manufacturers - Specialty & Generic,NSE
IRCTC.NS,Indian Railway Catering & Tourism Corporation Limited,Industrials,Railroads,NSE
IRFC.NS,Indian Railway Finance Corporation Limited,Financial Services,Credit Services,NSE
ITC.NS,ITC Limited,Consumer Defensive,Tobacco,NSE
J&KBANK.NS,Jammu and Kashmir Bank Limited,Financial Services,Banks - Regional,NSE
JAGRAN.NS,Jagran Prakashan Limited,Communication Services,Publishing,NSE
JAICORPLTD.NS,Jai Corp Limited,Basic Materials,Specialty Chemicals,NSE
JBCHEPHARM.NS,J. B. Chemicals & Pharmaceuticals Limited,Healthcare,Drug Manufacturers - Specialty & Generic,NSE
JINDALSAW.NS,Jindal Saw Limited,Basic Materials,Steel,NSE
JINDALSTEL.NS,Jindal Steel Limited,Basic Materials,Steel,NSE
JINDWORLD.NS,Jindal Worldwide Limited,Consumer Cyclical,Textile Manufacturing,NSE
JISLJALEQS.NS,Jain Irrigation Systems Limited,Industrials,Conglomerates,NSE
JKCEMENT.NS,J.K. Cement Limited,Basic Materials,Building Materials,NSE
JKIL.NS,J. Kumar Infraprojects Limited,Industrials,Engineering & Construction,NSE
JKLAKSHMI.NS,JK Lakshmi Cement Limited,Basic Materials,Building Materials,NSE
JMA.NS,Jullundur Motor Agency (Delhi) Limited,Consumer Cyclical,Auto Parts,NSE
JSWHL.NS,JSW Holdings Limited,Industrials,Conglomerates,NSE
JSWSTEEL.NS,JSW Steel Limited,Basic Materials,Steel,NSE
JUBLFOOD.NS,Jubilant FoodWorks Limited,Consumer Cyclical,Restaurants,NSE
JUSTDIAL.NS,Just Dial Limited,Communication Services,Internet Content & Information,NSE
JYOTHYLAB.NS,Jyothy Labs Limited,Consumer Defensive,Household & Personal Products,NSE
KAJARIACER.NS,Kajaria Ceramics Limited,Industrials,Building Products & Equipment,NSE
KALYANKJIL.NS,Kalyan Jewellers India Limited,Consumer Cyclical,Luxury Goods,NSE
KANSAINER.NS,Kansai Nerolac Paints Limited,Basic Materials,Specialty Chemicals,NSE
KCP.NS,The KCP Limited,Basic Materials,Building Materials,NSE
KEC.NS,KEC International Limited,Industrials,Engineering & Construction,NSE
KEI.NS,KEI Industries Limited,Industrials,Electrical Equipment & Parts,NSE
KEYFINSERV.NS,Keynote Financial Services Limited,Financial Services,Capital Markets,NSE
KFINTECH.NS,KFin Technologies Limited,Technology,Software - Application,NSE
KIMS.NS,Krishna Institute of Medical Sciences Limited,Healthcare,Medical Care Facilities,NSE
KIRIINDUS.NS,Kiri Industries Limited,Basic Materials,Specialty Chemicals,NSE
KNRCON.NS,KNR Constructions Limited,Industrials,Engineering & Construction,NSE
KOTAKBANK.NS,Kotak Mahindra Bank Limited,Financial Services,Banks - Regional,NSE
KPITTECH.NS,KPIT Technologies Limited,Technology,Software - Infrastructure,NSE
KRBL.NS,KRBL Limited,Consumer Defensive,Packaged Foods,NSE
LALPATHLAB.NS,Dr. Lal PathLabs Limited,Healthcare,Diagnostics & Research,NSE
LAURUSLABS.NS,Laurus Labs Limited,Healthcare,Drug Manufacturers - Specialty & Generic,NSE
LEMONTREE.NS,Lemon Tree Hotels Limited,Consumer Cyclical,Lodging,NSE
LICHSGFIN.NS,LIC Housing Finance Limited,Financial Services,Mortgage Finance,NSE
LT.NS,Larsen & Toubro Limited,Industrials,Engineering & Construction,NSE
LTFOODS.NS,LT Foods Limited,Consumer Defensive,Packaged Foods,NSE
LTIM.NS,LTIMindtree Limited,Technology,Information Technology Services,NSE
LTTS.NS,L&T Technology Services Limited,Technology,Information Technology Services,NSE
LUPIN.NS,Lupin Limited,Healthcare,Drug Manufacturers - Specialty & Generic,NSE
LUXIND.NS,Lux Industries Limited,Consumer Cyclical,Apparel Manufacturing,NSE
LXCHEM.NS,Laxmi Organic Industries Limited,Basic Materials,Specialty Chemicals,NSE
M&M.NS,Mahindra & Mahindra Limited,Consumer Cyclical,Auto Manufacturers,NSE
M&MFIN.NS,Mahindra & Mahindra Financial Services Limited,Financial Services,Credit Services,NSE
MAHAPEXLTD.NS,Maha Rashtra Apex Corporation Limited,Financial Services,Credit Services,NSE
MAHLOG.NS,Mahindra Logistics Limited,Industrials,Integrated Freight & Logistics,NSE
MAHSCOOTER.NS,Maharashtra Scooters Ltd.,Financial Services,Asset Management,NSE
MAHSEAMLES.NS,Maharashtra Seamless Limited,Basic Materials,Steel,NSE
MANAPPURAM.NS,Manappuram Finance Limited,Financial Services,Credit Services,NSE
MARICO.NS,Marico Limited,Consumer Defensive,Household & Personal Products,NSE
